Team1/Team2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,,,,
1,0.5,0.467,0.375,0.293,0.167,0.313,0.143,0.198,0.1,0.143,0.429,0,0,0,0,0.007,,,,,
2,0.533,0.5,0.397,0.556,0.833,0.278,0.299,0.556,0.5,0.367,0.125,0,0,0,0.057,0,,,,,
3,0.625,0.603,0.5,0.375,0.5,0.422,0.389,0,0,0.308,0.309,0,0,0.15,0,0,,,,,
4,0.707,0.444,0.625,0.5,0.442,0.667,0.667,0.636,0.5,0,0,0.293,0.201,0,0,0,,,,,
5,0.833,0.167,0.5,0.558,0.5,0,0,0.75,0.75,0,0,0.331,0.176,0,0,0,,,,,
6,0.688,0.722,0.578,0.333,1,0,0.375,0.75,0,0.4,0.363,0,0,0.125,0,0,,,,,
7,0.857,0.701,0.611,0.333,0,0.625,0,0.5,0,0.396,1,0,0,0,0.333,0,,,,,
8,0.802,0.444,1,0.364,0.25,0.25,0.5,0,0.488,0,0,1,0,0,0,0,,,,,
9,0.9,0.5,1,0.5,0.25,0,0,0.512,0,0,1,0,0,0,0,0,,,,,
10,0.857,0.633,0.692,1,1,0.6,0.604,0,1,0,0.667,0,0,0,0,0,,,,,
11,0.571,0.875,0.691,0,0,0.638,0,1,0,0.333,0,0,0,0,0,0,,,,,
12,1,1,0,0.707,0.669,0,0,0,0,0,0,0,0.25,0,0,0,,,,,
13,1,0,0,0.799,0.824,0,0,1,1,0,0,0.75,0,0,0,0,,,,,
14,0,0,0.85,0,0,0.875,1,0,0,,1,0,0,0,0,0,,,,,
15,0,0.943,1,0,0,0,0.667,0,0,1,0,0,0,0,0,0,,,,,
16,0.993,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,1
