gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
mens,4/6/2019,0,1,1,1,1,1,1,0.5498601,6,1,258,Virginia,96.39,South,1,96
mens,4/6/2019,0,1,1,1,1,1,1,0.4501399,6,1,2641,Texas Tech,95.41,West,3,52
mens,4/6/2019,0,1,1,1,1,1,0,0,7,0,127,Michigan State,93.94,East,2,28
mens,4/6/2019,0,1,1,1,1,1,0,0,7,0,2,Auburn,90.53,Midwest,5,72
mens,4/6/2019,0,1,1,1,1,0,0,0,7,0,150,Duke,96.56,East,1,0
mens,4/6/2019,0,1,1,1,1,0,0,0,7,0,2250,Gonzaga,95.66,West,1,32
mens,4/6/2019,0,1,1,1,1,0,0,0,7,0,96,Kentucky,92.31,Midwest,2,92
mens,4/6/2019,0,1,1,1,1,0,0,0,7,0,2509,Purdue,91.97,South,3,116
mens,4/6/2019,0,1,1,1,0,0,0,0,7,0,259,Virginia Tech,90.22,East,4,12
mens,4/6/2019,0,1,1,1,0,0,0,0,7,0,99,Louisiana State,87.07,East,3,20
mens,4/6/2019,0,1,1,1,0,0,0,0,7,0,52,Florida State,90.37,West,4,44
mens,4/6/2019,0,1,1,1,0,0,0,0,7,0,130,Michigan,91.92,West,2,60
mens,4/6/2019,0,1,1,1,0,0,0,0,7,0,153,North Carolina,93.61,Midwest,1,64
mens,4/6/2019,0,1,1,1,0,0,0,0,7,0,248,Houston,89.58,Midwest,3,84
mens,4/6/2019,0,1,1,1,0,0,0,0,7,0,2483,Oregon,86.95,South,12,106
mens,4/6/2019,0,1,1,1,0,0,0,0,7,0,2633,Tennessee,91.88,South,2,124
mens,4/6/2019,0,1,1,0,0,0,0,0,7,0,2116,Central Florida,83.35,East,9,6
mens,4/6/2019,0,1,1,0,0,0,0,0,7,0,2335,Liberty,79.42,East,12,10
mens,4/6/2019,0,1,1,0,0,0,0,0,7,0,120,Maryland,85.23,East,6,16
mens,4/6/2019,0,1,1,0,0,0,0,0,7,0,135,Minnesota,82.69,East,10,26
mens,4/6/2019,0,1,1,0,0,0,0,0,7,0,239,Baylor,82.24,West,9,38
mens,4/6/2019,0,1,1,0,0,0,0,0,7,0,93,Murray State,83.89,West,12,42
mens,4/6/2019,0,1,1,0,0,0,0,0,7,0,2084,Buffalo,86.83,West,6,48
mens,4/6/2019,0,1,1,0,0,0,0,0,7,0,57,Florida,85.35,West,10,58
mens,4/6/2019,0,1,1,0,0,0,0,0,7,0,264,Washington,84.32,Midwest,9,70
mens,4/6/2019,0,1,1,0,0,0,0,0,7,0,2305,Kansas,87.11,Midwest,4,76
mens,4/6/2019,0,1,1,0,0,0,0,0,7,0,194,Ohio State,83.57,Midwest,11,82
mens,4/6/2019,0,1,1,0,0,0,0,0,7,0,2747,Wofford,85.52,Midwest,7,88
mens,4/6/2019,0,1,1,0,0,0,0,0,7,0,201,Oklahoma,85,South,9,102
mens,4/6/2019,0,1,1,0,0,0,0,0,7,0,300,UC-Irvine,80.01,South,13,110
mens,4/6/2019,0,1,1,0,0,0,0,0,7,0,222,Villanova,87.29,South,6,112
mens,4/6/2019,0,1,1,0,0,0,0,0,7,0,2294,Iowa,83.85,South,10,122
mens,4/6/2019,1,1,0,0,0,0,0,0,7,0,2449,North Dakota State,70.79,East,16b,3
mens,4/6/2019,0,1,0,0,0,0,0,0,7,0,2670,Virginia Commonwealth,81.7,East,8,4
mens,4/6/2019,0,1,0,0,0,0,0,0,7,0,344,Mississippi State,85.11,East,5,8
mens,4/6/2019,0,1,0,0,0,0,0,0,7,0,139,Saint Louis,77.01,East,13,14
mens,4/6/2019,1,1,0,0,0,0,0,0,7,0,2057,Belmont,81.74,East,11a,18
mens,4/6/2019,0,1,0,0,0,0,0,0,7,0,43,Yale,77.11,East,14,22
mens,4/6/2019,0,1,0,0,0,0,0,0,7,0,97,Louisville,85.9,East,7,24
mens,4/6/2019,0,1,0,0,0,0,0,0,7,0,71,Bradley,72.91,East,15,30
mens,4/6/2019,1,1,0,0,0,0,0,0,7,0,161,Fairleigh Dickinson,70.86,West,16a,34
mens,4/6/2019,0,1,0,0,0,0,0,0,7,0,183,Syracuse,83.92,West,8,36
mens,4/6/2019,0,1,0,0,0,0,0,0,7,0,269,Marquette,84.41,West,5,40
mens,4/6/2019,0,1,0,0,0,0,0,0,7,0,261,Vermont,79.29,West,13,46
mens,4/6/2019,1,1,0,0,0,0,0,0,7,0,9,Arizona State,81.94,West,11a,50
mens,4/6/2019,0,1,0,0,0,0,0,0,7,0,94,Northern Kentucky,77.27,West,14,54
mens,4/6/2019,0,1,0,0,0,0,0,0,7,0,2440,Nevada,86.11,West,7,56
mens,4/6/2019,0,1,0,0,0,0,0,0,7,0,149,Montana,76.17,West,15,62
mens,4/6/2019,0,1,0,0,0,0,0,0,7,0,314,Iona,71.88,Midwest,16,66
mens,4/6/2019,0,1,0,0,0,0,0,0,7,0,328,Utah State,82.26,Midwest,8,68
mens,4/6/2019,0,1,0,0,0,0,0,0,7,0,166,New Mexico State,80.91,Midwest,12,74
mens,4/6/2019,0,1,0,0,0,0,0,0,7,0,111,Northeastern,78.58,Midwest,13,78
mens,4/6/2019,0,1,0,0,0,0,0,0,7,0,66,Iowa State,86.12,Midwest,6,80
mens,4/6/2019,0,1,0,0,0,0,0,0,7,0,2247,Georgia State,76.3,Midwest,14,86
mens,4/6/2019,0,1,0,0,0,0,0,0,7,0,2550,Seton Hall,82.2,Midwest,10,90
mens,4/6/2019,0,1,0,0,0,0,0,0,7,0,2000,Abilene Christian,72.33,Midwest,15,94
mens,4/6/2019,0,1,0,0,0,0,0,0,7,0,2241,Gardner-Webb,71.74,South,16,98
mens,4/6/2019,0,1,0,0,0,0,0,0,7,0,145,Mississippi,81.64,South,8,100
mens,4/6/2019,0,1,0,0,0,0,0,0,7,0,275,Wisconsin,86.54,South,5,104
mens,4/6/2019,0,1,0,0,0,0,0,0,7,0,2306,Kansas State,86.65,South,4,108
mens,4/6/2019,0,1,0,0,0,0,0,0,7,0,2608,Saint Mary's (CA),83.58,South,11,114
mens,4/6/2019,0,1,0,0,0,0,0,0,7,0,295,Old Dominion,76.98,South,14,118
mens,4/6/2019,0,1,0,0,0,0,0,0,7,0,2132,Cincinnati,85.44,South,7,120
mens,4/6/2019,0,1,0,0,0,0,0,0,7,0,2142,Colgate,74.95,South,15,126
mens,4/6/2019,1,0,0,0,0,0,0,0,7,0,2428,North Carolina Central,65.48,East,16a,2
mens,4/6/2019,1,0,0,0,0,0,0,0,7,0,218,Temple,79.39,East,11b,19
mens,4/6/2019,1,0,0,0,0,0,0,0,7,0,2504,Prairie View,69.57,West,16b,35
mens,4/6/2019,1,0,0,0,0,0,0,0,7,0,2599,St. John's (NY),78.84,West,11b,51
